key,label,description
1,Absence of Corruption,Absence of Corruption measures the degree to which public officials (including elected representatives and public servants) abuse their positions through the arbitrary exercise of power for illicit personal or political gain. It also includes lax or selective enforcement of relevant laws intended to prevent significant acts of corruption in the private sector.
2,Access to Justice,"Access to Justice measures the extent to which individuals and groups can use legal institutions to redress injustices and wrongful acts, including historic wrongs. It also entails a guarantee that all people are equal before courts and tribunals and those accused of a crime have an effective right to a fair trial. That is, that people have equal access to the justice system without discrimination and are also guaranteed due process (free from corruption), including when they are accused and charged with a crime. Access to Justice may also take the form of non-judicial (or quasi-judicial) mechanisms for traditional dispute resolution, transitional justice, and truth and reconciliation processes (Office of the United Nations High Commissioner for Human Rights n.d.b)."
3,Basic Welfare,"Basic Welfare measures the extent to which a populations basic needs, including access to essential goods and services such as nutrition, healthcare and education, are met."
4,Civic Engagement,"Civic Engagement primarily encompasses membership in voluntary, non-party, formal associations (Theiss-Morse and Hibbing 2005), but may also include individual participation in collective political activities."
5,Civil Liberties,"Civil liberties are those negative rights that are understood to be most closely linked to political activity or personal fulfilment. Some theorists see these rights as being inherent to human personhood (Foster 2008: 3). Civil liberties set boundaries for state conduct, specifying the areas where a citizens freedom of action, conduct, or condition should be legally protected (Katalin 1991) and which can only be limited by the government when their completely free exercise would conflict with other goals of democratic government (Hovius 1986; Gardbaum 2007). Note that civil liberties are generally understood to apply to individuals and not to groups. The list of rights that are included within the concept of civil liberties is not universally agreed upon. However, the most common rights to be included are the freedoms of expression, association, assembly and religion, along with rights to life, property, privacy, bodily integrity and a fair trial. Civil liberties differ from civil rights (at least in contemporary English-language discourse) in that civil rights primarily concern guarantees against discrimination (Schmidt 2016: 1). Some aspects of civil rights are included under Social Group Equality."
6,Civil Society,"One of the leading scholars of this concept defined it this way: The words civil society name the space of uncoerced human association and also the set of relational networksformed for the sake of family, faith, interest and ideologythat fill this space (Walzer 1995). For the purposes of the GSoD framework, the most important elements of this definition are the space and the networks. We also consider the interactions between these uncoerced associations and the state to be part of this network."
7,Credible Elections,"Credible Elections is a measure of the extent to which electoral processes are free and fair. Our conception is based on the electoral cycle approach, which emphasizes the importance of the cyclical nature of elections and the ways in which the pre-election, election day and post-election periods are interlinked and impact each other. Based on this approach, our measure of Credible Elections may be impacted by a range of activities and events, including, for example, changes to the electoral law, the process of observer accreditation, candidate registration, polling station irregularities, election authorities independence and post-election audits."
8,Economic Equality,"Economic Equality is a measure of the extent to which individuals and social groups enjoy equal socio-economic rights and ability to exert political influence. Events coded as affecting Economic Equality may overlap with Social Group Equality, but this measure is related to changes in a countrys economy that primarily affect the relative economic position of individuals or social groups."
9,Effective Parliament,"Effective Parliament describes the extent to which the legislature fulfils the core democratic functions of a legislature. The core democratic functions of a legislature are: (1) to represent the people, (2) to make laws and (3) to provide oversight and accountability to other branches of the government (B�ckenf�rde 2011). Some scholars add a fourth function: to provide constituency service through which the members of the legislature assist the people whom they represent in accessing government services (Barkan 2017). This may also be considered to be a particular form of representation (function 1)."
10,Elected Government,"Elected Government measures the extent to which key positions within the executive branch of government are selected through competitive multiparty elections. As members of the executive in parliamentary systems are drawn from the legislature, the extent to which the legislature is selected through competitive multiparty elections is also relevant."
11,Electoral Participation,Electoral Participation measures the rate at which members of the political community participate in electoral processes.
12,Free Political Parties,"Free Political Parties assess the restraints and barriers preventing citizens from organizing themselves into political parties or their equivalents and how free those political parties are to contest elections and compete with similar organizations and parties. It also includes the extent to which elected political parties in a countrys legislature are able to exercise the powers of that office, or whether their ability to participate is limited by unconstitutional or otherwise broadly undemocratic means."
13,Freedom of Assembly and Association,"Freedom of Association concerns the ability of individuals to formally join together in groups to pursue common interests (Joseph and Castan 2013). Such groups include trade unions, political parties, NGOs, professional or sporting clubs and corporations (Joseph and Castan 2013). Freedom of Assembly concerns the extent to which individuals are able to participate in peaceful gatherings of more than one person, which may be in-person or online, in public or in private. It covers a range of different types of gathering, including meetings, processions, protests, demonstrations, rallies, strikes and sit-ins (United Nations Human Rights Committee 2020; Office of the United Nations High Commissioner for Human Rights n.d.a)."
