key,label,description
1,Cabinet appointment veto (ethnic / specific organization),"Rules mandating that, in order to be appointed, the cabinet needs the approval of the given minority group or of a specific party or former warring faction purporting to represent the given minority group."
2,Head of state appointment veto (ethnic / specific organization),"Rules mandating that, in order to be appointed, the head of state needs the approval of the given minority group or of a specific party or former warring faction purporting to represent the given minority group."
3,Head of government appointment veto (ethnic / specific organization),"Rules mandating that, in order to be appointed, the head of government needs the approval of the given minority group or of a specific party or former warring faction purporting to represent the given minority group."
4,Head of state deputy appointment veto (ethnic / specific organization),"Rules mandating that, in order to be appointed, the head of state deputy needs the approval of the given minority group or of a specific party or former warring faction purporting to represent the given minority group."
5,Head of government deputy appointment veto (ethnic / specific organization),"Rules mandating that, in order to be appointed, the head of government deputy needs the approval of the given minority group or of a specific party or former warring faction purporting to represent the given minority group."
6,Lower house speaker appointment veto (ethnic / specific organization),"Rules mandating that, in order to be appointed, the lower house speaker needs the approval of the given minority group or of a specific party or former warring faction purporting to represent the given minority group."
7,Upper house speaker appointment veto (ethnic / specific organization),"Rules mandating that, in order to be appointed, the upper house speaker needs the approval of the given minority group or of a specific party or former warring faction purporting to represent the given minority group."
8,Cabinet quotas (ethnic / specific organization),Quotas mandating cabinet seats to be awarded to the given minority group or to a specific party or former warring faction purporting to represent the given minority group.
9,Head of state quotas / linkage (ethnic / specific organization),Quotas mandating that the head of state position should be taken by the given minority group or by a specific party or former warring faction purporting to represent the given minority group or requirements mandating the head of state position to be split between them. 
10,Head of government quotas / linkage (ethnic / specific organization),Quotas mandating that the head of government position should be taken by the given minority group or by a specific party or former warring faction purporting to represent the given minority group or requirements mandating the head of government position to be split between them.
11,Head of state deputy quotas / linkage (ethnic / specific organization) (ethnic / specific organization),Quotas mandating that the head of state deputy position should be taken by the given minority group or by a specific party or former warring faction purporting to represent the given minority group or requirements mandating the head of state deputy position to be split between them.
12,Head of government deputy quotas / linkage (ethnic / specific organization),Quotas mandating that the head of government deputy position should be taken by the given minority group or by a specific party or former warring faction purporting to represent the given minority group or requirements mandating the head of government deputy position to be split between them.
13,Lower house speaker quotas / linkage (ethnic / specific organization) ,Quotas mandating that the lower house speaker position should be taken by the given minority group or by a specific party or former warring faction purporting to represent the given minority group or requirements mandating the lower house speaker position to be split between them.
14,Upper house speaker quotas / linkage (ethnic / specific organization),Quotas mandating that the upper house speaker position should be taken by the given minority group or by a specific party or former warring faction purporting to represent the given minority group or requirements mandating the upper house speaker position to be split between them.
15,Head of state rotation rules (ethnic / specific organization),Rules requiring that the head of state position has to rotate between representatives of the given minority group (and others) or between a specific party or former warring faction purporting to represent the given minority group (and others).
16,Head of government rotation rules (ethnic / specific organization),Rules requiring that the head of government position has to rotate between representatives of the given minority group (and others) or between a specific party or former warring faction purporting to represent the given minority group (and others).
17,Head of state deputy rotation rules (ethnic / specific organization) (ethnic / specific organization),Rules requiring that the head of state deputy position has to rotate between representatives of the given minority group (and others) or between a specific party or former warring faction purporting to represent the given minority group (and others).
