key,label,description
1,Acción de amparo,"Acción constitucional establecida para tutelar la libertad personal y seguridad individual frente a todo acto ilegalo contrario a la Constitución que represente una amenaza, perturbación o privación para el legítimo ejercicio de la misma."
2,Acción de amparo económico,"Acción popular de rango legal, que procede en contra de “infracciones” al art. 19 No 21, relativo al derecho a realizar cualquier actividad económica que no sea contraria a la moral, el orden público o la seguridad nacional, respetando las normas legales que las regulen (art. único, L. 18.971). La acción puede ser interpuesta por la infracción tanto del derecho en sí, establecido en el inc. 1° del art. 19 No 21, como del estatuto del Estado empresario, regulado en el inc. 2° del mismo precepto constitucional (véase “Estado empresario”, “Derecho a desarrollar cualquier actividad económica”). Si bien la jurisprudencia ha sido contradictoria, fallos recientes limitan esta acción sólo respecto del inciso segundo del art. 19 No 2 (SCS R. 10-461-14)."
3,Acción de inaplicabilidad por inconstitucionalidad,"“acción que el ordenamiento supremo franquea para evitar que la aplicación de uno o más preceptos legales, invocados en una gestión judicial pendiente, produzca efectos, formal o sustantivamente, contrarios al Código Político. Trátase, por ende, de un control concreto de la constitucionalidad de la ley, centrado en el caso sub lite y cuya resolución se limita a qué disposiciones legales determinadas, en sí mismas, resulten, en su sentido y alcance intrínseco, inconciliables con el texto y el espíritu de la Carta Fundamental” (STC R. 1390-09, véase “Control de constitucionalidad”)."
4,Acción de inconstitucionalidad,"Es la acción pública que da inicio al proceso tendiente a la declaración de inconstitucionalidad de un precepto legal determinado, bajo el presupuesto procesal que se haya declarado previamente inaplicable exactamente el mismo precepto por sentencia del TC, y cuyo objeto es obtener tal declaración por la mayoría de cuatro quintos de los Ministros del TC, resolviéndose así su expulsión y derogación del ordenamiento jurídico sin efecto retroactivo."
5,Acción de protección,"Acción constitucional establecida para tutelar los derechos taxativamente enumerados en el art. 20 de la Constitución, frente a toda acción u omisión ilegal o arbitraria que represente una amenaza, perturbación o privación para el legítimo ejercicio de los mismos. La acción de protección es una garantía constitucional establecida para proteger los derechos listados en el art. 20 y se le conoce también como “recurso” de protección (véase “Garantías constitucionales”). El TC ha estimado que la acción de protección es una acción de carácter cautelar, cuyo objeto es constituir una garantía rápida y eficaz para restablecer el imperio del derecho y asegurar la protección del afectado (STC R. 1557-09)."
6,Acción de reclamación por privación o des conocimiento de la nacionalidad,Acción constitucional establecida para tutelar el derecho a la nacionalidad frente a todo acto o resolución administrativa que prive o desconozca la nacionalidad chilena de una persona.
7,Acción penal,"Se puede entender que la acción penal es aquella que nace a partir de un delito para su persecución judicial y que da inicio a un proceso penal. El concepto de acción penal no está definido por el legislador. El CpP señala que el fin de la acción penal es “impetrar la averiguación de todo hecho punible y sancionar, en su caso, el delito  que resulte probado” (art. 10 CpP). La actual legislación procesal penal  clasifica las acciones penales en públicas y privadas (art. 53 CPP) y acción  pública previa instancia particular (art. 54 CPP), que constituye una acción mixta.  
"
8,Acciones constitucionales,"Véase “Garantías constitucionales” [Es el conjunto de medios o mecanismos que el ordenamiento jurídico establece para la protección, tutela, efectividad o salvaguardia de los derechos fundamentales.]."
9,Acciones de salud,"Son los ámbitos de protección del derecho a la salud que el legislador garantiza mediante prestaciones pro mocionales, protectoras, recuperativas y rehabilitadoras de la misma, que constituyen el objeto del derecho constitucional contemplado en el art. 19 Nº 9. Las acciones de salud constitucionalmente reguladas son cuatro: acciones de promoción, protección, recuperación y rehabilitación del in dividuo (véase, “Derecho a la protección de la salud”)."
10,Acciones judiciales contra ministros de es tado,"Es el antejuicio del Senado para habilitar el ejercicio de acciones  que persigan la responsabilidad civil de los Ministros de Estado, por actos  personales e injustos de éstos en el ejercicio de su cargo y siempre que se deriven perjuicios en contra del particular demandante."
11,Acto administrativo,"“las decisiones formales que emitan los órganos de la Administración del Estado en las cuales se contienen declaraciones de voluntad, realizadas en el ejercicio de una potestad pública. Los actos administrativos tomarán la forma de decretos supremos y resoluciones.” (Art. 3 LBPA)."
12,Acuerdos [Banco Central],"Decisiones adoptadas por el Consejo del BC, las cuales deberán “tener presente la orientación general de la política económica del Gobierno” y que se ejecutan mediante resoluciones del Presidente del Banco (art. 6 inc. 2° LOC BC). Esta definición se corresponde con lo que la LBPA determina: “las  decisiones de los órganos administrativos pluripersonales se denominan acuerdos y se llevan a efecto por medio de resoluciones de la autoridad ejecutiva de la entidad correspondiente” (art. 3, inc. 7° LBPA). Su único límite material es la constatación, pese a la autonomía del BC, que estos acuerdos se adoptan en el marco de las finalidades que persigue la política económica contingente del Gobierno."
13,Acuerdos parlamentarios,"Son las decisiones camara les que adopta el Senado o la Cámara de Diputados sobre el mérito de distintas cuestiones políticas relativas al gobierno y la administración del  Estado, tanto de orden nacional como internacional."
